년도별 산불통계,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계
2023,04,01,12:46,토,2023,04,02,15:08,경기,경기,화성,양감,정문,쓰,기타(직접입력),쓰레기소각,0.33
2023,04,01,11:22,토,2023,04,01,13:40,경남,경남,산청,삼장,대포,기,기타(직접입력),조사중,0.1
2023,03,31,20:00,금,2023,03,31,21:30,경기,경기,연천,왕징,무등,기,기타(직접입력),미상,0.05
2023,03,31,16:47,금,2023,03,31,17:31,경기,경기,광주,남한산성,하번천,입,기타(직접입력),입산자실화,0.01
2023,03,31,15:45,금,2023,03,31,19:00,강원,강원,홍천,두촌,천현,기,기타(직접입력),모노레일스파크,0.6
2023,03,31,15:17,금,2023,03,31,17:20,경남,경남,함양,안의,당본,,주택화재비화,공장화재,0.1
2023,03,31,14:46,금,2023,03,31,20:00,강원,강원,원주,,봉산,,주택화재비화,공장화재,1
2023,03,31,14:33,금,2023,03,31,16:40,경북,경북,경주,안강,옥산,입,기타(직접입력),입산자실화추정,0.22
2023,03,31,13:15,금,2023,03,31,14:05,경기,경기,용인 처인,양지,주북,쓰,기타(직접입력),쓰레기소각,0.16
2023,03,31,12:29,금,2023,03,31,16:48,전남,전남,순천,황전,대치,담,기타(직접입력),담뱃불실화,0.5
2023,03,31,12:10,금,2023,03,31,13:30,경북,경북,경주,강동,호명,기,기타(직접입력),재투기,0.27
2023,03,31,11:39,금,2023,03,31,12:30,전북,전북,순창,팔덕,청계,기,작업장실화,산림사업장화재,0.1
2023,03,31,09:50,금,2023,03,31,10:39,세종,세종,부강,,운곡,기,기타(직접입력),불씨(재처리)취급부주의,0.01
2023,03,31,00:39,금,2023,03,31,03:10,광주,광주,광산,광산,오운,기,기타(직접입력),조사중,0.09
2023,03,30,16:07,목,2023,03,30,19:00,강원,강원,횡성,청일,신대,기,기타(직접입력),미상,0.7
2023,03,30,15:00,목,2023,03,30,18:00,북부,경기,화성,매송,야목,기,기타(직접입력),성묘객실화,0.11
2023,03,30,14:39,목,2023,03,30,18:00,경기,경기,연천,연천,상,기,기타(직접입력),파이프절단불씨비화,0.3
2023,03,30,14:32,목,2023,03,30,15:50,강원,강원,평창,진부,하진부,기,기타(직접입력),원인미상,0.02
2023,03,30,14:17,목,2023,04,03,16:29,경기,경기,포천,영북,운천,담,기타(직접입력),담뱃불실화,29
2023,03,30,13:25,목,2023,03,30,16:30,경남,경남,거창,웅양,군암,기,작업장실화,산업현장실화,0.05
2023,03,30,13:15,목,2023,03,30,14:10,인천,인천,서,,왕길,기,기타(직접입력),원인미상,0.33
2023,03,30,13:04,목,2023,03,31,09:25,충북,충북,제천,봉양,명도,기,기타(직접입력),도로변담뱃불실화추정,21
2023,03,30,12:47,목,2023,04,01,15:00,강원,강원,화천,화천,중,기,기타(직접입력),원인미상,68
2023,03,30,12:00,목,2023,03,30,12:58,강원,강원,강릉,연곡,동덕,기,기타(직접입력),원인미상,0.4
2023,03,30,11:13,목,2023,03,30,13:00,경북,경북,경주,산내,일부,기,기타(직접입력),성묘객실화,0.7
2023,03,30,10:08,목,2023,03,30,11:19,경기,경기,여주,가남,대산,기,기타(직접입력),원인미상,0.02
2023,03,29,16:00,수,2023,03,29,17:45,강원,강원,평창,진부,하진부,입,기타(직접입력),입산자실화,0.3
